,AST_Ratio_away,AST_Ratio_home,AST_div_TO_away,AST_div_TO_home,AST_percent_away,AST_percent_home,DREB_ratio_away,DREB_ratio_home,DefRtg_away,DefRtg_home,NetRtg_away,NetRtg_home,OffRtg_away,OffRtg_home,PACE_away,PACE_home,PIE_away,PIE_home,REB_ratio_away,REB_ratio_home,TO_Ratio_away,TO_Ratio_home,TS_ratio_away,TS_ratio_home,USG_ratio_away,USG_ratio_home,eFG_ratio_away,eFG_ratio_home,game_ID
2,14.9,14.8,1.50,1.20,51.4,54.5,88.6,81.4,92.0,102.2,10.2,-10.2,102.2,92.0,96.90,96.90,58.2,41.8,54.0,46.0,12.6,15.2,53.4,51.2,20.0,20.0,48.1,46.9,20171114SASvsDAL
3,15.7,22.7,1.90,2.50,55.9,68.2,70.6,80.0,119.2,100.1,-19.1,19.1,100.1,119.2,92.10,92.10,37.2,62.8,40.5,59.5,10.9,13.0,50.0,60.9,20.0,20.0,47.6,58.2,20171113SACvsWAS
4,15.0,14.2,1.00,1.12,60.0,50.0,72.3,72.0,99.3,99.4,0.0,0.0,99.4,99.3,103.18,103.18,48.0,52.0,49.5,50.5,20.1,16.7,53.2,51.7,20.0,20.0,48.9,47.7,20171113CLEvsNYK
5,17.3,18.3,1.40,2.30,56.8,57.5,74.4,76.5,118.3,111.7,-6.6,6.6,111.7,118.3,92.62,92.62,46.0,54.0,50.7,49.3,16.3,10.8,60.4,59.1,19.8,19.8,55.9,56.1,20171113MEMvsMIL
6,18.9,23.4,1.56,1.63,62.5,75.6,78.8,75.6,112.2,108.3,-3.9,3.9,108.3,112.2,95.72,95.72,45.5,54.5,48.6,51.4,16.5,20.1,57.7,64.3,20.0,20.0,55.7,63.3,20171113ATLvsNOP
7,13.0,11.0,1.06,0.88,43.6,40.5,78.2,82.7,85.5,95.5,10.0,-10.0,95.5,85.5,106.76,106.76,55.0,45.0,48.6,51.4,15.3,15.6,51.2,44.8,20.0,19.7,50.0,42.6,20171113LALvsPHX
8,17.9,18.1,1.29,1.53,59.5,62.2,81.4,82.1,102.3,113.8,11.6,-11.6,113.8,102.3,95.80,95.80,60.9,39.1,56.3,43.7,17.8,15.7,65.1,55.2,19.6,20.0,59.2,52.4,20171113MINvsUTA
9,10.5,17.6,0.65,1.00,43.3,57.9,74.2,74.5,104.3,83.2,-21.1,21.1,83.2,104.3,96.76,96.76,30.1,69.9,44.9,55.1,20.3,23.2,45.3,61.2,20.0,19.8,41.1,56.8,20171113DENvsPOR
10,19.6,24.0,2.36,2.19,70.3,79.5,72.1,90.5,111.1,97.2,-13.9,13.9,97.2,111.1,100.98,100.98,44.0,56.0,41.2,58.8,10.7,16.2,52.1,57.9,20.0,20.0,47.7,54.5,20171113ORLvsGSW
11,19.4,12.6,1.35,1.07,71.1,44.4,82.0,71.4,102.9,106.4,3.6,-3.6,106.4,102.9,102.24,102.24,61.1,38.9,60.0,40.0,19.5,14.7,59.0,54.6,20.0,20.0,53.9,51.2,20171113PHIvsLAC
12,15.8,17.9,1.06,1.60,56.3,68.6,66.7,83.8,99.6,104.3,4.7,-4.7,104.3,99.6,92.74,92.74,50.5,49.5,43.9,56.1,18.9,15.7,59.4,49.8,20.0,19.8,53.6,46.0,20171112TORvsBOS
13,19.1,18.1,2.78,1.85,64.1,57.1,74.4,86.0,114.5,104.0,-10.5,10.5,104.0,114.5,98.42,98.42,44.9,55.1,41.9,58.1,9.1,13.3,53.1,58.5,20.0,20.0,50.6,56.3,20171112MIAvsDET
14,17.8,14.6,1.85,1.38,55.8,48.6,84.1,77.3,96.7,116.9,20.2,-20.2,116.9,96.7,99.58,99.58,59.6,40.4,53.4,46.6,12.9,13.2,60.3,51.5,20.0,20.0,57.2,49.4,20171112HOUvsIND
15,13.5,16.9,0.90,1.24,48.6,58.3,90.9,75.6,111.9,95.3,-16.6,16.6,95.3,111.9,102.00,102.00,41.6,58.4,52.6,47.4,19.2,17.0,52.1,65.1,20.0,19.6,48.9,60.4,20171112DALvsOKC
16,14.2,16.3,0.79,0.96,55.9,52.4,66.7,75.6,110.4,90.0,-20.5,20.5,90.0,110.4,103.40,103.40,32.8,67.2,43.2,56.8,23.0,22.5,51.9,62.6,20.0,20.0,49.4,58.3,20171111ATLvsWAS
17,12.7,18.6,1.33,1.13,45.7,60.5,78.4,84.3,105.2,101.1,-4.1,4.1,101.1,105.2,103.72,103.72,40.3,59.7,42.0,58.0,11.8,21.8,52.6,61.3,19.8,20.0,46.5,57.5,20171111LACvsNOP
18,15.2,21.2,1.46,2.64,63.3,61.7,79.5,74.4,118.5,95.6,-22.9,22.9,95.6,118.5,97.40,97.40,37.4,62.6,51.2,48.8,13.7,11.0,48.8,61.1,20.0,20.0,41.9,58.9,20171111SACvsNYK
19,17.7,13.9,1.15,1.13,60.5,48.6,76.6,87.5,110.6,94.2,-16.5,16.5,94.2,110.6,101.12,101.12,46.3,53.7,47.1,52.9,19.6,15.9,55.2,58.2,19.8,20.0,51.9,54.2,20171111MEMvsHOU
20,13.7,15.8,1.06,1.91,51.4,53.8,82.7,76.7,100.7,107.4,6.6,-6.6,107.4,100.7,103.32,103.32,56.7,43.3,55.8,44.2,16.4,10.7,57.6,51.4,20.0,19.8,50.6,47.8,20171111CLEvsDAL
21,15.6,12.7,0.91,1.14,67.7,45.7,81.6,80.5,96.6,85.5,-11.1,11.1,85.5,96.6,103.36,103.36,47.7,52.3,53.3,46.7,21.8,13.8,49.8,50.8,19.6,19.6,45.9,44.7,20171111LALvsMIL
22,17.4,23.7,1.69,2.36,55.0,64.7,74.2,87.8,135.7,94.3,-41.4,41.4,94.3,135.7,98.88,98.88,33.3,66.7,38.9,61.1,13.0,14.3,51.2,72.3,20.0,19.8,50.0,70.6,20171111CHIvsSAS
23,19.6,21.0,1.50,1.35,68.2,64.6,86.2,72.9,120.1,103.8,-16.2,16.2,103.8,120.1,111.12,111.12,39.1,60.9,49.4,50.6,18.2,20.5,55.4,72.2,19.8,20.0,53.2,67.1,20171111PHIvsGSW
24,18.2,20.6,2.00,2.23,58.5,63.0,68.3,82.2,126.4,107.2,-19.2,19.2,107.2,126.4,99.34,99.34,40.3,59.7,41.9,58.1,12.0,13.1,55.8,63.2,20.0,19.8,53.4,59.8,20171111ORLvsDEN
25,11.6,15.5,1.45,1.17,41.0,45.7,80.0,67.2,109.7,106.4,-3.3,3.3,106.4,109.7,105.48,105.48,45.0,55.0,50.5,49.5,10.6,16.7,49.4,61.1,20.0,20.0,42.7,59.3,20171111MINvsPHX
26,10.6,14.5,0.76,1.19,37.1,46.3,72.1,76.2,114.0,105.8,-8.2,8.2,105.8,114.0,100.36,100.36,44.7,55.3,48.2,51.8,17.0,16.0,56.9,59.4,20.0,20.0,50.7,54.7,20171111BKNvsUTA
27,20.3,16.3,1.75,1.35,63.6,59.0,63.0,73.8,113.4,105.2,-8.2,8.2,105.2,113.4,98.36,98.36,51.9,48.1,46.9,53.1,16.2,17.4,55.4,55.0,19.8,20.0,53.9,50.6,20171110ATLvsDET
28,15.6,12.2,1.43,1.15,64.5,50.0,81.6,85.1,90.9,85.7,-5.2,5.2,85.7,90.9,100.26,100.26,50.0,50.0,49.0,51.0,13.8,13.1,46.0,47.4,20.0,20.0,42.5,41.1,20171110CHAvsBOS
29,20.1,18.1,1.50,2.00,62.8,64.9,80.0,82.1,88.8,104.7,15.9,-15.9,104.7,88.8,99.12,99.12,58.7,41.3,54.3,45.7,18.0,12.3,58.8,44.9,20.0,20.0,58.3,43.5,20171110INDvsCHI
30,10.1,17.6,0.68,1.92,33.3,57.5,73.2,64.4,124.2,110.8,-13.4,13.4,110.8,124.2,98.40,98.40,39.3,60.7,53.5,46.5,19.0,12.4,57.1,62.8,19.8,20.0,53.6,58.3,20171110LACvsOKC
