,charges_drawn_away,charges_drawn_home,contest_2PT_shots_away,contest_2PT_shots_home,contest_3PT_shots_away,contest_3PT_shots_home,deflections_away,deflections_home,game_ID,loose_balls_recovered_away,loose_balls_recovered_home,screen_ASS_away,screen_ASS_home
2,1,0,35,34,29,20,12,8,20171114SASvsDAL,8,9,14,9
3,0,0,34,36,23,15,7,12,20171113SACvsWAS,8,7,5,4
4,0,1,17,5,3,6,4,6,20171113CLEvsNYK,5,3,2,3
5,0,7,52,42,21,25,15,15,20171113MEMvsMIL,0,5,4,8
6,1,0,30,33,21,29,22,14,20171113ATLvsNOP,0,0,5,3
7,0,0,60,46,25,27,20,15,20171113LALvsPHX,10,9,9,13
8,1,0,34,38,28,15,13,12,20171113MINvsUTA,5,2,6,9
9,1,0,46,44,16,23,13,16,20171113DENvsPOR,2,4,7,11
10,0,1,33,42,15,25,9,7,20171113ORLvsGSW,8,3,3,6
11,0,1,14,8,10,6,6,5,20171113PHIvsLAC,5,2,4,5
12,2,6,52,33,18,21,18,15,20171112TORvsBOS,3,4,9,5
13,0,2,41,43,25,25,9,7,20171112MIAvsDET,0,1,7,13
14,0,2,40,24,15,45,16,13,20171112HOUvsIND,5,5,12,8
15,1,0,32,36,27,24,11,17,20171112DALvsOKC,7,7,4,6
16,1,0,31,40,20,25,20,18,20171111ATLvsWAS,8,15,10,11
17,4,0,39,36,10,22,22,10,20171111LACvsNOP,2,4,9,10
18,2,0,44,37,22,17,10,6,20171111SACvsNYK,1,2,9,4
19,2,1,23,39,38,13,19,20,20171111MEMvsHOU,11,7,13,7
20,0,1,42,36,27,28,11,14,20171111CLEvsDAL,4,2,9,6
21,1,0,50,36,17,19,9,13,20171111LALvsMIL,6,11,4,5
22,0,1,46,58,24,19,11,9,20171111CHIvsSAS,7,3,15,9
23,0,0,29,47,19,22,12,21,20171111PHIvsGSW,0,1,6,12
24,0,0,37,44,18,26,6,16,20171111ORLvsDEN,6,7,11,14
25,1,0,42,59,23,13,21,7,20171111MINvsPHX,12,10,7,19
26,1,0,18,20,5,9,8,8,20171111BKNvsUTA,5,4,1,17
27,1,1,15,11,7,2,9,9,20171110ATLvsDET,2,5,5,11
28,1,0,35,39,22,15,15,17,20171110CHAvsBOS,1,1,10,5
29,0,0,41,49,27,26,22,14,20171110INDvsCHI,5,8,10,11
30,4,1,32,28,19,27,11,13,20171110LACvsOKC,12,10,13,15
