,BLK_away,BLK_home,FBPS_away,FBPS_home,PF_away,PF_home,PITP_away,PITP_home,PTS_OFF_TO_away,PTS_OFF_TO_home,SEC_PTS_away,SEC_PTS_home,game_ID
2,7,4,6,3,16,23,34,32,17,5,12,9,20171114SASvsDAL
3,3,1,4,13,15,21,32,46,14,11,17,17,20171113SACvsWAS
4,7,3,2,6,21,21,34,48,17,17,14,20,20171113CLEvsNYK
5,1,5,15,11,25,19,44,48,8,16,12,21,20171113MEMvsMIL
6,1,5,16,7,18,13,38,48,19,18,15,13,20171113ATLvsNOP
7,6,4,11,13,20,17,44,38,14,16,12,17,20171113LALvsPHX
8,5,4,6,5,13,23,42,44,17,20,0,4,20171113MINvsUTA
9,2,5,11,4,16,18,32,42,19,16,18,4,20171113DENvsPOR
10,3,5,13,14,18,21,42,54,13,12,7,16,20171113ORLvsGSW
11,2,4,11,10,26,26,54,42,16,25,19,16,20171113PHIvsLAC
12,8,2,2,9,20,18,34,38,18,18,10,21,20171112TORvsBOS
13,5,5,6,8,22,17,42,38,17,9,9,8,20171112MIAvsDET
14,5,7,17,17,20,15,46,38,13,16,12,12,20171112HOUvsIND
15,4,4,9,9,20,23,36,38,21,28,8,13,20171112DALvsOKC
16,1,10,6,21,23,22,28,48,17,36,17,12,20171111ATLvsWAS
17,1,4,7,4,24,19,46,58,32,16,12,9,20171111LACvsNOP
18,4,6,2,5,18,22,28,60,15,12,12,15,20171111SACvsNYK
19,5,4,13,21,20,19,58,36,18,24,13,11,20171111MEMvsHOU
20,3,3,13,22,18,26,40,44,8,13,14,9,20171111CLEvsDAL
21,9,4,5,8,22,27,46,52,9,17,9,9,20171111LALvsMIL
22,4,6,5,8,15,16,58,46,18,18,12,13,20171111CHIvsSAS
23,2,11,14,32,19,23,52,50,22,22,10,7,20171111PHIvsGSW
24,5,4,14,17,19,16,50,60,15,17,3,11,20171111ORLvsDEN
25,4,10,10,11,21,25,66,42,21,21,20,8,20171111MINvsPHX
26,4,3,2,4,22,29,50,50,16,17,12,17,20171111BKNvsUTA
27,7,5,11,7,21,18,58,46,27,23,8,20,20171110ATLvsDET
28,7,5,2,5,21,26,30,32,9,15,14,14,20171110CHAvsBOS
29,3,3,20,6,17,13,42,38,14,10,15,8,20171110INDvsCHI
30,2,7,7,15,30,29,48,42,10,25,10,13,20171110LACvsOKC
31,7,6,19,8,13,15,52,44,16,14,10,7,20171110MILvsSAS
32,5,5,11,21,20,29,42,62,19,22,6,14,20171110ORLvsPHX
33,6,7,3,6,20,20,36,32,17,17,10,6,20171110MIAvsUTA
34,4,4,12,5,13,17,46,40,15,16,13,7,20171110BKNvsPOR
35,4,4,14,8,19,31,48,50,18,25,19,8,20171109LALvsWAS
36,4,4,14,12,20,24,58,46,15,19,4,19,20171109NOPvsTOR
37,1,5,13,10,30,27,48,38,37,22,13,16,20171109CLEvsHOU
