,FGM_ratio_AST_away,FGM_ratio_AST_home,FGM_ratio_UAST_away,FGM_ratio_UAST_home,game_ID,ratio_FGA_2PT_away,ratio_FGA_2PT_home,ratio_FGA_3PT_away,ratio_FGA_3PT_home,ratio_PTS_2PT_MR_away,ratio_PTS_2PT_MR_home,ratio_PTS_2PT_away,ratio_PTS_2PT_home,ratio_PTS_3PT_away,ratio_PTS_3PT_home,ratio_PTS_FBPS_away,ratio_PTS_FBPS_home,ratio_PTS_FT_away,ratio_PTS_FT_home,ratio_PTS_OFFTO_away,ratio_PTS_OFFTO_home,ratio_PTS_PITP_away,ratio_PTS_PITP_home,sec_FGM_ratio_AST_away,sec_FGM_ratio_AST_home,sec_FGM_ratio_UAST_away,sec_FGM_ratio_UAST_home,thr_FGM_ratio_AST_away,thr_FGM_ratio_AST_home,thr_FGM_ratio_UAST_away,thr_FGM_ratio_UAST_home
2,51.4,54.5,48.6,45.5,20171114SASvsDAL,67.1,58.0,32.9,42.0,24.7,15.4,59.8,50.5,18.6,33.0,6.2,3.3,21.6,16.5,17.5,5.5,35.1,35.2,44.8,43.5,55.2,56.5,83.3,80.0,16.7,20.0
3,55.9,68.2,44.1,31.8,20171113SACvsWAS,72.6,60.0,27.4,40.0,13.0,18.2,47.8,60.0,39.1,30.0,4.3,11.8,13.0,10.0,15.2,10.0,34.8,41.8,40.9,60.6,59.1,39.4,83.3,90.9,16.7,9.1
4,60.0,50.0,40.0,50.0,20171113CLEvsNYK,48.9,71.6,51.1,28.4,3.8,11.9,36.5,59.4,46.2,23.8,1.9,5.9,17.3,16.8,16.3,16.8,32.7,47.5,36.8,40.0,63.2,60.0,87.5,87.5,12.5,12.5
5,56.8,57.5,43.2,42.5,20171113MEMvsMIL,65.8,73.2,34.2,26.8,7.8,7.3,50.5,50.9,32.0,32.7,14.6,10.0,17.5,16.4,7.8,14.5,42.7,43.6,42.3,46.4,57.7,53.6,90.9,83.3,9.1,16.7
6,62.5,75.6,37.5,24.4,20171113ATLvsNOP,58.6,56.0,41.4,44.0,7.6,7.5,43.8,52.8,48.6,36.8,15.2,6.6,7.6,10.4,18.1,17.0,36.2,45.3,43.5,64.3,56.5,35.7,88.2,100,11.8,0.0
7,43.6,40.5,56.4,59.5,20171113LALvsPHX,64.1,72.6,35.9,27.4,6.0,23.7,50.0,64.5,42.0,22.6,11.0,14.0,8.0,12.9,14.0,17.2,44.0,40.9,24.0,40.0,76.0,60.0,78.6,42.9,21.4,57.1
8,59.5,62.2,40.5,37.8,20171113MINvsUTA,71.8,52.4,28.2,47.6,11.0,2.0,49.5,46.9,27.5,42.9,5.5,5.1,22.9,10.2,15.6,20.4,38.5,44.9,44.4,39.1,55.6,60.9,100,100,0.0,0.0
9,43.3,57.9,56.7,42.1,20171113DENvsPOR,61.9,71.2,38.1,28.8,12.2,20.2,51.2,62.6,32.9,21.2,13.4,4.0,15.9,16.2,23.2,16.2,39.0,42.4,23.8,51.6,76.2,48.4,88.9,85.7,11.1,14.3
10,70.3,79.5,29.7,20.5,20171113ORLvsGSW,63.6,73.9,36.4,26.1,12.0,16.4,54.0,65.5,30.0,21.8,13.0,12.7,16.0,12.7,13.0,10.9,42.0,49.1,66.7,75.0,33.3,25.0,80.0,100,20.0,0.0
11,71.1,44.4,28.9,55.6,20171113PHIvsLAC,58.4,61.0,41.6,39.0,7.3,5.7,56.9,45.7,19.3,34.3,10.1,9.5,23.9,20.0,14.7,23.8,49.5,40.0,67.7,29.2,32.3,70.8,85.7,75.0,14.3,25.0
