,FGA_away,FGA_home,FGM_away,FGM_home,FG_ratio_away,FG_ratio_home,FTA_away,FTA_home,FTM_away,FTM_home,FT_ratio_away,FT_ratio_home,OREB_away,OREB_home,PTS_away,PTS_home,REB_away,REB_home,STL_away,STL_home,TOV_away,TOV_home,date,game_ID,team_away,team_home,threePA_away,threePA_home,threePM_away,threePM_home,threeP_ratio_away,threeP_ratio_home
2,79,81,35,33,44.3,40.7,27,18,21,15,77.8,83.3,8,5,97,91,47,40,9,7,12,15,11/14/2017,20171114SASvsDAL,SAS,DAL,26,34,6,10,23.1,29.4
3,84,85,34,44,40.5,51.8,18,12,12,11,66.7,91.7,10,10,92,110,34,50,9,7,10,12,11/13/2017,20171113SACvsWAS,SAC,WAS,23,34,12,11,52.2,32.4
4,88,88,35,38,39.8,43.2,22,22,18,17,81.8,77.3,14,13,104,101,48,49,7,13,21,17,11/13/2017,20171113CLEvsNYK,CLE,NYK,45,25,16,8,35.6,32.0
5,76,82,37,40,48.7,48.8,21,25,18,18,85.7,72.0,8,10,103,110,37,36,5,6,14,9,11/13/2017,20171113MEMvsMIL,MEM,MIL,26,22,11,12,42.3,54.5
6,87,75,40,41,46.0,54.7,9,17,8,11,88.9,64.7,10,7,105,106,36,38,14,10,16,19,11/13/2017,20171113ATLvsNOP,ATL,NOP,36,33,17,13,47.2,39.4
7,92,95,39,37,42.4,38.9,13,20,8,12,61.5,60.0,9,12,100,93,52,55,6,6,16,15,11/13/2017,20171113LALvsPHX,LAL,PHX,33,26,14,7,42.4,26.9
8,71,84,37,37,52.1,44.0,29,11,25,10,86.2,90.9,5,8,109,98,40,31,9,8,15,15,11/13/2017,20171113MINvsUTA,MIN,UTA,20,40,10,14,50.0,35.0
9,84,73,30,38,35.7,52.1,15,18,13,16,86.7,88.9,12,8,82,99,35,43,9,12,20,21,11/13/2017,20171113DENvsPOR,DEN,POR,32,21,9,7,28.1,33.3
10,88,88,37,44,42.0,50.0,18,16,16,14,88.9,87.5,4,12,100,110,35,50,10,4,11,16,11/13/2017,20171113ORLvsGSW,ORL,GSW,32,23,10,8,31.3,34.8
11,77,82,38,36,49.4,43.9,35,32,26,21,74.3,65.6,10,9,109,105,51,34,9,8,20,15,11/13/2017,20171113PHIvsLAC,PHI,LAC,32,32,7,12,21.9,37.5
12,69,87,32,35,46.4,40.2,23,19,20,15,87.0,78.9,6,15,94,95,36,46,8,9,17,14,11/12/2017,20171112TORvsBOS,TOR,BOS,24,26,10,10,41.7,38.5
13,90,87,39,42,43.3,48.3,16,20,12,14,75.0,70.0,7,11,103,112,39,54,8,2,9,13,11/12/2017,20171112MIAvsDET,MIA,DET,37,28,13,14,35.1,50.0
14,90,83,43,37,47.8,44.6,18,21,15,13,83.3,61.9,10,7,118,95,47,41,10,5,13,13,11/12/2017,20171112HOUvsIND,HOU,IND,47,22,17,8,36.2,36.4
15,87,72,37,36,42.5,50.0,18,32,14,25,77.8,78.1,11,3,99,112,41,37,9,10,20,15,11/12/2017,20171112DALvsOKC,DAL,OKC,37,32,11,15,29.7,46.9
16,83,78,34,42,41.0,53.8,17,28,12,22,70.6,78.6,10,11,94,113,32,42,11,14,24,23,11/11/2017,20171111ATLvsWAS,ATL,WAS,33,24,14,7,42.4,29.2
17,86,80,35,43,40.7,53.8,27,24,23,19,85.2,79.2,8,8,103,111,37,51,12,7,11,23,11/11/2017,20171111LACvsNOP,LAC,NOP,26,16,10,6,38.5,37.5
18,80,90,30,47,37.5,52.2,30,15,24,12,80.0,80.0,11,8,91,118,42,40,6,6,13,11,11/11/2017,20171111SACvsNYK,SAC,NYK,22,27,7,12,31.8,44.4
19,79,83,38,37,48.1,44.6,18,28,14,21,77.8,75.0,5,11,96,111,41,46,9,14,19,16,11/11/2017,20171111MEMvsHOU,MEM,HOU,20,45,6,16,30.0,35.6
20,81,92,35,39,43.2,42.4,35,21,29,16,82.9,76.2,10,9,111,104,53,42,8,7,17,10,11/11/2017,20171111CLEvsDAL,CLE,DAL,31,34,12,10,38.7,29.4
21,74,85,31,35,41.9,41.2,37,26,22,22,59.5,84.6,8,9,90,98,48,42,7,11,21,12,11/11/2017,20171111LALvsMIL,LAL,MIL,22,23,6,6,27.3,26.1
22,86,85,40,51,46.5,60.0,13,16,8,13,61.5,81.3,5,8,94,133,28,44,9,5,13,13,11/11/2017,20171111CHIvsSAS,CHI,SAS,23,27,6,18,26.1,66.7
23,94,82,44,48,46.8,58.5,20,26,14,25,70.0,96.2,13,4,114,135,38,39,10,15,19,23,11/11/2017,20171111PHIvsGSW,PHI,GSW,28,27,12,14,42.9,51.9
24,87,87,41,46,47.1,52.9,20,27,14,21,70.0,77.8,8,13,107,125,36,50,7,9,12,12,11/11/2017,20171111ORLvsDEN,ORL,DEN,31,29,11,12,35.5,41.4
25,96,86,39,46,40.6,53.5,35,24,28,16,80.0,66.7,19,7,110,118,47,46,12,4,11,18,11/11/2017,20171111MINvsPHX,MIN,PHX,20,26,4,10,20.0,38.5
26,76,85,35,41,46.1,48.2,39,25,29,21,74.4,84.0,10,12,106,114,41,44,7,12,17,16,11/11/2017,20171111BKNvsUTA,BKN,UTA,23,29,7,11,30.4,37.9
27,89,89,44,39,49.4,43.8,11,27,8,21,72.7,77.8,11,20,104,111,45,51,11,7,15,17,11/10/2017,20171110ATLvsDET,ATL,DET,24,30,8,12,33.3,40.0
28,80,84,31,30,38.8,35.7,33,25,19,21,57.6,84.0,7,9,87,90,47,49,5,6,14,13,11/10/2017,20171110CHAvsBOS,CHA,BOS,22,31,6,9,27.3,29.0
29,84,93,43,37,51.2,39.8,12,9,7,6,58.3,66.7,7,11,105,87,51,43,8,10,18,12,11/10/2017,20171110INDvsCHI,IND,CHI,29,27,12,7,41.4,25.9
30,84,78,39,40,46.4,51.3,30,40,21,29,70.0,72.5,16,11,111,120,46,40,4,8,18,12,11/10/2017,20171110LACvsOKC,LAC,OKC,30,26,12,11,40.0,42.3
31,89,80,41,34,46.1,42.5,14,11,7,10,50.0,90.9,11,9,94,87,47,43,10,8,13,18,11/10/2017,20171110MILvsSAS,MIL,SAS,18,29,5,9,27.8,31.0
32,82,94,43,44,52.4,46.8,43,25,29,19,67.4,76.0,7,12,128,112,44,40,8,8,18,15,11/10/2017,20171110ORLvsPHX,ORL,PHX,28,24,13,5,46.4,20.8
33,77,74,30,25,39.0,33.8,18,22,14,19,77.8,86.4,7,4,84,74,48,40,9,10,20,17,11/10/2017,20171110MIAvsUTA,MIA,UTA,25,21,10,5,40.0,23.8
34,91,95,39,40,42.9,42.1,19,11,11,9,57.9,81.8,11,12,101,97,49,51,7,4,10,10,11/10/2017,20171110BKNvsPOR,BKN,POR,38,23,12,8,31.6,34.8
35,86,83,31,43,36.0,51.8,41,20,30,18,73.2,90.0,17,7,95,111,46,45,9,7,19,19,11/09/2017,20171109LALvsWAS,LAL,WAS,23,21,3,7,13.0,33.3
